koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag
0.98,1,0,0,0,369.7985,0.01122,-0.01122,173.3282,0.0184,-0.0184,0.1382,0.3203,-0.1379,12.564,0.595,-0.595,1106.4,98.5,-98.5,2.53,1.12,-0.19,225.0,0.61,0.84,-0.14,11.1,5680.0,188.0,-154.0,4.582,0.037,-0.272,0.757,0.337,-0.056,15.696
0.0,1,0,1,1,12.42555055,9.417e-05,-9.417e-05,141.5457,0.00718,-0.00718,0.973,0.001,-0.002,28.492,0.455,-0.455,409.0,5.7,-5.7,3.79,1.06,-1.07,1027.0,262.42,212.71,-144.55,123.7,6381.0,155.0,-214.0,4.155,0.246,-0.164,1.423,0.402,-0.402,13.244
0.0,0,1,0,0,0.925589891,3.653e-06,-3.653e-06,169.69275,0.00319,-0.00319,0.616,0.056,-0.474,1.967,0.117,-0.117,400.8,23.8,-23.8,50.6,14.85,-5.3,6637.0,460202.18,366069.92,-110815.42,20.6,4094.0,73.0,-55.0,1.627,0.12,-0.12,24.488,7.185,-2.566,10.795
0.894,0,0,0,0,16.2959916,7.703e-05,-7.703e-05,133.90784,0.00375,-0.00375,0.213,0.244,-0.213,2.116,0.128,-0.128,369.6,28.0,-28.0,1.83,0.21,-0.17,678.0,49.81,16.07,-10.93,15.7,5495.0,74.0,-82.0,4.442,0.072,-0.099,0.961,0.115,-0.086,15.243
1.0,0,0,0,0,2.154911236,2.507e-06,-2.507e-06,133.498613,0.000939,-0.000939,0.113,0.345,-0.113,3.1341,0.027,-0.027,99.7,1.4,-1.4,1.42,0.06,-0.08,1740.0,2162.35,277.92,-354.64,83.0,6181.0,68.0,-86.0,4.22,0.033,-0.027,1.424,0.056,-0.085,11.018
0.0,0,0,0,1,6.39903778,3.302e-05,-3.302e-05,134.7133,0.00529,-0.00529,0.241,0.198,-0.241,3.15,0.129,-0.129,186.6,9.0,-9.0,6.54,1.96,-3.19,1780.0,2376.4,2037.34,-1830.11,24.1,5178.0,124.0,-171.0,3.286,0.372,-0.217,4.856,1.456,-2.366,13.507
0.999,0,0,0,0,237.787237,0.0008527,-0.0008527,196.97103,0.00253,-0.00253,0.947,0.005,-0.004,10.509,0.166,-0.166,1627.7,30.2,-30.2,9.91,1.84,-4.28,354.0,3.73,1.9,-2.59,92.3,5185.0,93.0,-70.0,3.936,0.416,-0.104,1.853,0.343,-0.801,13.46
0.046,0,1,0,0,8.360616221,4.43e-06,-4.43e-06,172.264978,0.000443,-0.000443,0.21,0.058,-0.117,7.5385,0.0314,-0.0314,28066.0,76.2,-76.2,40.35,6.93,-13.88,1263.0,601.6,278.33,-356.79,425.6,5463.0,87.0,-76.0,3.79,0.238,-0.085,2.445,0.42,-0.841,16.209
1.0,0,0,0,0,8.99088621,1.135e-05,-1.135e-05,136.73923,0.00107,-0.00107,0.77,0.016,-0.529,4.2447,0.0306,-0.0306,469.7,5.4,-5.4,2.78,0.46,-0.39,960.0,200.35,92.7,-62.82,93.6,5881.0,105.0,-117.0,4.315,0.115,-0.115,1.171,0.196,-0.161,13.431
1.0,0,0,0,0,3.00912491,1.464e-05,-1.464e-05,131.62696,0.00448,-0.00448,0.009,0.451,-0.009,2.228,0.126,-0.126,191.4,13.2,-13.2,1.22,0.16,-0.04,1177.0,452.27,150.72,-57.0,16.5,5713.0,68.0,-94.0,4.541,0.016,-0.099,0.893,0.114,-0.03,15.273
1.0,0,0,0,0,13.78109471,1.027e-05,-1.027e-05,177.852785,0.00057,-0.00057,0.545,0.08,-0.406,2.3188,0.0267,-0.0267,756.0,7.8,-7.8,1.42,0.09,-0.13,402.0,6.17,1.39,-1.55,112.8,3846.0,77.0,-84.0,4.738,0.052,-0.024,0.503,0.032,-0.048,12.925
1.0,0,0,0,0,5.75321539,1.184e-05,-1.184e-05,136.75617,0.00153,-0.00153,0.921,0.017,-0.666,1.7948,0.048,-0.048,733.8,28.1,-28.1,3.14,0.77,-0.26,920.0,169.44,130.41,-43.04,31.8,5445.0,180.0,-164.0,4.51,0.033,-0.176,0.929,0.229,-0.076,15.196
0.98,0,0,0,0,364.08733,0.02594,-0.02594,287.6056,0.048,-0.048,0.1702,0.2852,-0.1702,14.09,2.6,-2.6,372.0,60.5,-60.5,1.39,0.35,-0.11,211.0,0.47,0.37,-0.11,8.8,5376.0,179.0,-142.0,4.601,0.035,-0.139,0.727,0.183,-0.055,14.816
0.956,0,0,0,0,70.6981724,0.0003535,-0.0003535,188.56795,0.00403,-0.00403,0.026,0.4,-0.026,6.632,0.104,-0.104,357.7,11.0,-11.0,1.63,0.22,-0.1,417.0,7.11,2.75,-1.28,37.7,5811.0,104.0,-116.0,4.536,0.03,-0.113,0.866,0.118,-0.05,13.046
0.012,0,1,0,0,2.992662857,1.657e-06,-1.657e-06,131.893219,0.000626,-0.000626,0.001,0.147,-0.001,2.5258,0.0126,-0.0126,113700.0,461.0,-461.0,60.35,36.23,-36.24,1476.0,1123.54,2224.56,-965.69,296.8,4927.0,190.0,-155.0,3.883,0.728,-0.312,1.837,1.103,-1.103,16.328
0.999,0,0,0,0,4.44589508,1.75e-05,-1.75e-05,131.74309,0.00375,-0.00375,0.704,0.204,-0.474,2.3816,0.092,-0.092,441.4,24.3,-24.3,1.94,0.58,-0.19,1063.0,302.6,275.01,-89.91,20.9,5918.0,187.0,-208.0,4.544,0.036,-0.204,0.865,0.258,-0.086,15.391
0.0,0,0,1,1,3.74788208,5.381e-05,-5.381e-05,134.1709,0.0132,-0.0132,0.09,0.377,-0.09,4.183,0.274,-0.274,153.4,13.1,-13.1,0.94,0.18,-0.07,979.0,216.97,129.08,-53.72,13.6,5340.0,175.0,-159.0,4.593,0.03,-0.12,0.777,0.143,-0.061,15.527
1.0,0,0,0,0,3.8183717,3.846e-05,-3.846e-05,133.90812,0.00708,-0.00708,0.878,0.067,-0.637,2.687,0.218,-0.218,50.8,5.0,-5.0,1.39,0.4,-0.36,1683.0,1894.37,1608.61,-1002.54,11.8,6738.0,189.0,-260.0,4.109,0.209,-0.171,1.692,0.485,-0.436,13.821
1.0,0,0,0,0,394.6249514,0.0008171,-0.0008171,177.84534,0.00154,-0.00154,0.336,0.092,-0.229,24.108,0.107,-0.107,2013.3,10.1,-10.1,7.79,1.27,-1.9,325.0,2.65,1.2,-1.26,234.6,5910.0,107.0,-119.0,4.03,0.196,-0.084,1.727,0.281,-0.422,12.849
1.0,0,0,0,0,5.62904396,2.165e-05,-2.165e-05,134.74679,0.00305,-0.00305,0.237,0.223,-0.237,3.7295,0.0876,-0.0876,39.5,1.4,-1.4,1.39,0.21,-0.37,1576.0,1459.41,657.48,-722.5,32.2,6197.0,135.0,-111.0,3.837,0.233,-0.093,2.188,0.336,-0.576,10.421
0.986,0,0,0,0,8.50698069,3.609e-05,-3.609e-05,134.64421,0.00354,-0.00354,0.816,0.138,-0.559,2.938,0.109,-0.109,295.5,16.5,-16.5,1.9,0.53,-0.29,900.0,155.42,127.78,-57.25,20.7,5822.0,157.0,-192.0,4.428,0.087,-0.188,0.986,0.276,-0.148,15.135
0.0,0,0,0,0,9.6310258,0.0001257,-0.0001257,132.7273,0.0101,-0.0101,0.951,0.027,-0.65,5.255,0.241,-0.241,297.2,25.1,-25.1,2.9,0.82,-0.68,1094.0,338.33,275.21,-164.36,12.7,6432.0,155.0,-214.0,4.207,0.19,-0.171,1.345,0.382,-0.313,13.306
0.987,0,0,0,0,109.6469948,0.0007071,-0.0007071,190.67271,0.00542,-0.00542,0.797,0.137,-0.556,6.568,0.175,-0.175,899.7,34.5,-34.5,4.85,0.73,-1.7,428.0,7.95,3.28,-4.78,26.7,5332.0,88.0,-72.0,4.083,0.368,-0.092,1.453,0.218,-0.51,15.162
1.0,0,0,0,0,5.22402436,3.172e-05,-3.172e-05,132.85379,0.00543,-0.00543,0.12,0.334,-0.12,2.608,0.151,-0.151,48.1,3.7,-3.7,0.58,0.05,-0.05,941.0,185.16,57.75,-37.44,15.1,5487.0,109.0,-109.0,4.512,0.056,-0.077,0.84,0.085,-0.059,12.869
1.0,0,0,0,0,10.45839865,5.78e-05,-5.78e-05,137.65416,0.0043,-0.0043,0.009,0.469,-0.009,3.154,0.126,-0.126,306.8,19.3,-19.3,1.25,0.04,-0.06,609.0,32.45,3.99,-5.41,18.6,4641.0,74.0,-83.0,4.557,0.049,-0.014,0.747,0.02,-0.04,14.471
0.99,0,0,0,0,11.55562042,3.102e-05,-3.102e-05,138.19752,0.00207,-0.00207,0.874,0.053,-0.621,1.6758,0.0649,-0.0649,441.5,22.7,-22.7,2.11,0.25,-0.09,703.0,57.75,18.51,-7.64,22.7,5420.0,73.0,-81.0,4.555,0.019,-0.097,0.85,0.101,-0.034,14.816
1.0,0,0,0,0,24.61480613,3.227e-05,-3.227e-05,191.741225,0.000999,-0.000999,0.435,0.268,-0.297,2.6602,0.0407,-0.0407,1798.0,28.8,-28.8,4.2,0.45,-0.5,586.0,27.93,8.48,-7.5,68.4,5312.0,79.0,-79.0,4.384,0.137,-0.074,0.986,0.107,-0.117,14.621
0.98,0,0,0,0,51.85656556,3.206e-05,-3.206e-05,167.340205,0.00334,-0.00334,0.5366,0.201,-0.256,2.21,0.116,-0.116,411.7,16.9,-16.9,2.23,0.4,-0.24,862.0,130.225,64.035,-35.985,26.0,5739.0,151.0,-149.0,4.45,0.066,-0.117,0.974,0.211,-0.101,13.173
0.0,0,1,0,0,23.6731242,1.012e-05,-1.012e-05,160.628756,0.000338,-0.000338,0.21,0.026,-0.045,14.3948,0.0292,-0.0292,23113.0,32.3,-32.3,17.74,3.15,-1.95,676.0,49.42,24.18,-13.3,842.3,5769.0,104.0,-116.0,4.338,0.095,-0.126,1.177,0.209,-0.129,13.057
0.0,0,1,1,1,1.33256418,1.964e-05,-1.964e-05,132.0473,0.0122,-0.0122,0.559,0.044,-0.486,4.701,0.357,-0.357,162.3,10.3,-10.3,0.81,0.07,-0.06,1262.0,602.26,198.51,-156.83,20.7,5157.0,178.0,-178.0,4.641,0.066,-0.039,0.62,0.048,-0.048,15.86
0.365,0,0,0,0,40.1454757,0.0008974,-0.0008974,133.7186,0.0307,-0.0307,0.491,0.451,-0.286,5.2,3.9,-3.9,310.8,67.1,-67.1,13.01,1.98,-5.94,1640.0,1708.38,1122.5,-1423.71,5.2,7852.0,447.0,-1044.0,3.159,0.368,-0.092,7.162,1.091,-3.273,13.201
0.999,0,0,0,0,5.007414194,1.164e-06,-1.164e-06,135.024066,0.00018,-0.00018,0.926,0.086,-0.007,1.3584,0.0168,-0.0168,4413.9,28.3,-28.3,8.8,1.42,-0.71,1114.0,363.75,162.95,-82.45,196.6,5957.0,107.0,-131.0,4.417,0.063,-0.117,1.042,0.168,-0.084,13.592
0.854,0,0,0,0,115.238544,0.002522,-0.002522,155.5989,0.0179,-0.0179,0.965,0.0,-0.684,7.653,0.527,-0.527,516.7,56.8,-56.8,3.17,0.47,-0.35,372.0,4.52,1.75,-1.13,10.6,5589.0,75.0,-75.0,4.384,0.099,-0.11,1.037,0.152,-0.114,15.259
0.98,0,0,0,0,9.9824036,0.0001718,-0.0001718,133.44855,0.00751,-0.00751,0.8093,0.1425,-0.2453,1.09,0.266,-0.266,83.9,17.3,-17.3,1.17,0.67,-0.14,966.0,205.65,358.67,-64.07,5.4,6273.0,153.0,-193.0,4.364,0.08,-0.325,1.139,0.659,-0.133,13.538
0.966,0,0,0,0,54.6493679,0.000971,-0.000971,176.0447,0.0164,-0.0164,0.018,0.43,-0.018,7.962,0.33,-0.33,432.5,32.8,-32.8,2.64,0.44,-0.45,538.0,19.86,8.73,-6.83,15.1,5751.0,78.0,-78.0,4.234,0.149,-0.108,1.282,0.215,-0.215,15.335
0.988,0,0,0,0,3.39904814,4.614e-05,-4.614e-05,134.6684,0.0123,-0.0123,0.596,0.371,-0.394,2.922,0.447,-0.447,69.6,12.0,-12.0,0.81,0.2,-0.12,1191.0,477.15,358.65,-159.06,8.1,5766.0,155.0,-155.0,4.444,0.112,-0.182,0.929,0.237,-0.128,14.803
0.98,0,0,0,0,0.824000125,2.811e-06,-2.811e-06,131.80421,0.0032,-0.0032,0.7697,1.209,-0.4345,0.855,0.197,-0.197,183.1,23.0,-23.0,0.42,0.07,-0.08,746.0,73.09,34.54,-26.62,12.3,3396.0,50.0,-50.0,4.991,0.06,-0.06,0.28,0.05,-0.05,15.896
1.0,0,0,0,0,4.708326451,7.3e-07,-7.3e-07,171.446507,0.000121,-0.000121,0.061,0.063,-0.061,3.16114,0.00526,-0.00526,7912.7,14.4,-14.4,10.6,2.85,-2.56,1162.0,431.02,349.26,-211.73,633.4,5560.0,166.0,-166.0,4.246,0.252,-0.189,1.21,0.325,-0.293,15.113
1.0,0,0,0,0,4.93883135,3.312e-05,-3.312e-05,135.95465,0.00544,-0.00544,0.633,0.328,-0.431,4.388,0.161,-0.161,123.5,6.5,-6.5,1.44,0.25,-0.21,1244.0,566.38,284.85,-188.35,21.3,6112.0,122.0,-134.0,4.281,0.125,-0.125,1.233,0.22,-0.18,14.173
0.0,1,0,0,0,2.559236603,3.044e-06,-3.044e-06,132.263863,0.000991,-0.000991,1.251,6.99,-0.534,1.6706,0.0535,-0.0535,11273.0,301.0,-301.0,37.66,11.6,-3.88,1296.0,665.95,600.96,-191.43,45.7,5955.0,160.0,-178.0,4.534,0.038,-0.212,0.883,0.272,-0.091,14.752
1.0,0,0,0,0,6.15828666,8.77e-05,-8.77e-05,135.4969,0.0144,-0.0144,0.595,0.042,-0.464,6.329,0.341,-0.341,57.7,4.1,-4.1,1.2,0.19,-0.26,1212.0,510.35,233.02,-219.53,16.4,5710.0,114.0,-91.0,4.073,0.201,-0.093,1.524,0.244,-0.336,13.102
1.0,0,0,0,0,179.609803,0.0001823,-0.0001823,295.330361,0.000447,-0.000447,0.711,0.011,-0.4,13.755,0.119,-0.119,1273.0,7.7,-7.7,5.47,0.34,-0.28,389.0,5.41,1.03,-0.78,184.6,5880.0,78.0,-78.0,4.154,0.033,-0.027,1.433,0.09,-0.072,12.287
1.0,0,0,0,0,13.7872627,0.000102,-0.000102,144.77403,0.00592,-0.00592,0.921,0.027,-0.659,5.747,0.134,-0.134,75.1,3.6,-3.6,1.55,0.29,-0.41,894.0,150.64,71.35,-73.09,23.9,5691.0,77.0,-77.0,4.139,0.231,-0.116,1.458,0.265,-0.383,12.458
0.0,0,0,1,0,195.613824,0.001222,-0.001222,167.73974,0.00588,-0.00588,0.891,0.009,-0.013,23.777,0.353,-0.353,1651.9,18.4,-18.4,10.65,2.32,-5.4,467.0,11.24,7.79,-8.86,102.7,5970.0,201.0,-201.0,3.835,0.512,-0.128,2.229,0.485,-1.131,13.56
0.022,0,0,1,0,0.837898153,5.356e-06,-5.356e-06,131.98187,0.00658,-0.00658,0.071,0.389,-0.071,2.104,0.203,-0.203,268.9,23.7,-23.7,1.26,0.06,-0.13,1478.0,1128.57,316.83,-327.36,13.9,4748.0,172.0,-153.0,4.526,0.071,-0.038,0.797,0.043,-0.08,15.72
1.0,0,0,1,0,22.4098677,0.0001651,-0.0001651,147.38366,0.00646,-0.00646,0.869,0.077,-0.611,2.271,0.203,-0.203,69.8,6.7,-6.7,0.73,0.05,-0.03,489.0,13.55,3.08,-2.04,11.9,4900.0,98.0,-98.0,4.602,0.017,-0.049,0.741,0.048,-0.03,11.492
0.994,0,0,0,0,7.82502168,3.89e-05,-3.89e-05,136.54995,0.00436,-0.00436,0.708,0.234,-0.487,2.186,0.12,-0.12,520.8,36.4,-36.4,1.2,0.08,-0.1,494.0,14.05,3.1,-3.19,15.9,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,0.033,-0.04,15.954
1.0,0,0,0,0,7.886632468,3.478e-06,-3.478e-06,360.514132,0.000308,-0.000308,0.048,0.1,-0.048,5.2147,0.0118,-0.0118,6331.2,18.3,-18.3,8.99,2.64,-1.76,996.0,232.07,205.05,-100.77,392.3,5847.0,176.0,-193.0,4.304,0.18,-0.18,1.135,0.333,-0.222,15.014
0.141,0,1,0,0,0.83442282,1.149e-05,-1.149e-05,131.7827,0.0131,-0.0131,0.163,0.282,-0.163,1.873,0.367,-0.367,50.9,8.2,-8.2,0.64,0.16,-0.07,1854.0,2794.84,2064.28,-806.85,8.8,5838.0,140.0,-175.0,4.529,0.044,-0.176,0.897,0.231,-0.093,15.271
1.0,0,0,0,0,7.053934488,7.693e-06,-7.693e-06,136.357253,0.000874,-0.000874,0.899,0.003,-0.623,1.7244,0.0315,-0.0315,511.5,10.6,-10.6,2.36,0.2,-0.17,840.0,117.33,32.05,-24.79,56.3,5357.0,107.0,-107.0,4.498,0.058,-0.065,0.863,0.073,-0.065,13.916
0.956,0,0,0,0,6.46004728,3.015e-05,-3.015e-05,135.96779,0.004,-0.004,0.828,0.103,-0.607,1.979,0.109,-0.109,394.2,25.9,-25.9,1.8,0.43,-0.17,883.0,144.06,105.41,-40.9,17.0,5704.0,169.0,-186.0,4.575,0.04,-0.16,0.804,0.194,-0.077,15.81
1.0,0,0,0,0,22.08551599,4.197e-05,-4.197e-05,135.23432,0.0017,-0.0017,0.656,0.004,-0.49,2.1727,0.0504,-0.0504,3157.4,75.4,-75.4,3.34,0.17,-0.18,352.0,3.63,0.71,-0.64,48.5,3828.0,76.0,-84.0,4.712,0.022,-0.032,0.565,0.029,-0.029,15.967
1.0,0,0,0,0,31.3351094,0.0003184,-0.0003184,136.97538,0.00808,-0.00808,0.706,0.002,-0.525,6.071,0.254,-0.254,264.9,18.3,-18.3,1.99,0.57,-0.25,666.0,46.53,39.13,-14.81,16.7,6404.0,173.0,-192.0,4.393,0.06,-0.18,1.142,0.327,-0.14,14.681
0.135,0,0,1,0,6.70995253,5.509e-05,-5.509e-05,134.02352,0.0063,-0.0063,0.616,0.349,-0.404,2.297,0.2,-0.2,86.0,10.3,-10.3,1.1,0.33,-0.14,1120.0,372.31,315.03,-121.67,9.8,6461.0,145.0,-193.0,4.396,0.065,-0.195,1.131,0.339,-0.145,13.872
0.0,0,0,0,0,23.210509958,2.125e-06,-2.125e-06,134.386378,7.47e-05,-7.47e-05,0.954,0.03,-0.023,3.09802,0.00829,-0.00829,28737.0,47.6,-47.6,21.19,5.53,-1.83,595.0,29.69,22.9,-7.52,958.7,5875.0,161.0,-161.0,4.572,0.033,-0.187,0.809,0.211,-0.07,14.228
0.961,0,0,0,0,16.2908527,0.0001407,-0.0001407,132.11774,0.00593,-0.00593,0.105,0.353,-0.105,3.176,0.188,-0.188,44.1,3.6,-3.6,0.52,0.05,-0.03,622.0,35.48,10.27,-6.33,14.5,5425.0,108.0,-108.0,4.549,0.039,-0.072,0.797,0.073,-0.045,11.671
0.0,0,0,1,0,6.67410577,9.09e-05,-9.09e-05,136.9407,0.0121,-0.0121,0.927,0.032,-0.708,3.645,0.249,-0.249,160.9,14.8,-14.8,1.62,0.47,-0.26,1022.0,257.38,228.49,-98.59,12.6,5949.0,188.0,-208.0,4.389,0.124,-0.186,1.041,0.303,-0.163,15.066
0.998,0,0,0,0,44.8702042,0.00045,-0.00045,141.11446,0.00915,-0.00915,0.436,0.058,-0.406,4.199,0.197,-0.197,636.1,44.9,-44.9,2.56,0.8,-0.27,536.0,19.5,18.55,-6.13,16.4,6122.0,192.0,-235.0,4.471,0.052,-0.208,0.996,0.312,-0.104,15.755
0.0,0,0,1,0,5.09246539,4.39e-05,-4.39e-05,357.53594,0.0053,-0.0053,0.161,0.303,-0.161,3.659,0.199,-0.199,254.0,16.5,-16.5,1.17,0.12,-0.13,844.0,119.7,48.69,-36.91,17.1,5037.0,181.0,-181.0,4.547,0.072,-0.054,0.751,0.079,-0.079,15.162
0.927,0,0,0,0,63.3354719,0.000927,-0.000927,162.6161,0.0111,-0.0111,0.029,0.422,-0.029,3.651,0.251,-0.251,983.0,83.8,-83.8,1.18,0.15,-0.18,202.0,0.39,0.15,-0.13,13.0,3526.0,71.0,-78.0,4.866,0.066,-0.044,0.383,0.048,-0.058,15.921
0.98,1,0,0,0,2.49705175,3.206e-05,-3.206e-05,135.3072596,0.00334,-0.00334,0.5366,0.201,-0.256,3.79,0.116,-0.116,411.7,16.9,-16.9,2.23,0.4,-0.24,862.0,130.225,64.035,-35.985,26.0,5739.0,151.0,-149.0,4.45,0.066,-0.117,0.974,0.211,-0.101,10.266
0.999,0,0,0,0,4.16787814,1.073e-05,-1.073e-05,135.28334,0.00206,-0.00206,0.168,0.271,-0.168,2.2136,0.0649,-0.0649,168.1,5.9,-5.9,1.07,0.1,-0.04,962.0,202.48,51.07,-27.58,32.9,5251.0,73.0,-84.0,4.541,0.028,-0.083,0.847,0.075,-0.034,13.293
0.0,0,1,0,0,3.371796653,6.82e-07,-6.82e-07,134.876289,0.000183,-0.000183,3.219,0.248,-0.743,3.4421,0.0185,-0.0185,366900.0,832.0,-832.0,306.28,75.23,-40.64,1155.0,419.47,313.32,-136.73,560.2,5615.0,169.0,-152.0,4.455,0.094,-0.175,0.912,0.224,-0.121,15.909
